#time fluid_temperature fluid_vCM 
0.325  19.9326    -0.130207 0.00855138 -1.99198   
0.326  20.6122    -0.0142847 0.0923055 -2.00985   
0.327  17.9075    0.097171 0.153942 -2.04224   
0.328  16.5651    0.199323 0.192802 -2.08784   
0.329  15.2629    0.286756 0.206325 -2.14657   
0.33  13.7275    0.350605 0.192268 -2.2171   
0.331  12.7114    0.379708 0.147191 -2.30003   
0.332  13.6538    0.36891 0.0697261 -2.39696   
0.333  14.8269    0.319761 -0.0346452 -2.50444   
0.334  17.0845    0.235588 -0.157921 -2.61514   
0.335  16.9053    0.121675 -0.290236 -2.72606   
0.336  17.3925    -0.0158746 -0.420908 -2.83631   
0.337  18.4433    -0.169888 -0.542205 -2.94596   
0.338  18.1162    -0.337192 -0.652365 -3.05432   
0.339  19.3462    -0.509174 -0.743145 -3.15251   
0.34  19.8512    -0.674531 -0.806525 -3.23198   
0.341  20.2877    -0.829992 -0.844104 -3.28883   
0.342  21.6817    -0.964813 -0.84905 -3.31978   
0.343  22.6939    -1.06858 -0.82329 -3.32643   
0.344  22.1913    -1.1337 -0.772134 -3.30962   
0.345  23.6117    -1.15176 -0.692099 -3.27226   
0.346  22.939    -1.1201 -0.58627 -3.21774   
0.347  23.076    -1.04395 -0.464059 -3.14297   
0.348  22.4577    -0.935385 -0.341283 -3.04929   
0.349  22.7184    -0.804038 -0.230838 -2.94032   
0.35  23.1143    -0.655894 -0.132605 -2.82302   
0.351  22.086    -0.499991 -0.045764 -2.6984   
0.352  22.5039    -0.345499 0.0277709 -2.56466   
0.353  22.8362    -0.198876 0.0904389 -2.42671   
0.354  23.129    -0.0659238 0.14324 -2.28664   
0.355  24.7735    0.0479956 0.185419 -2.14401   
0.356  24.0201    0.131207 0.21353 -2.0045   
0.357  23.9834    0.175861 0.224963 -1.87825   
0.358  22.5555    0.178909 0.219955 -1.76969   
0.359  22.2814    0.138971 0.192103 -1.67528   
0.36  20.9532    0.0651919 0.141522 -1.58999   
0.361  19.0641    -0.0313142 0.0789549 -1.50702   
0.362  19.3563    -0.143072 0.0109209 -1.42117   
0.363  18.924    -0.261747 -0.0575556 -1.33249   
0.364  18.8901    -0.377634 -0.118353 -1.23764   
0.365  18.6645    -0.483193 -0.163028 -1.1308   
0.366  19.682    -0.576346 -0.190742 -1.01109   
0.367  21.3332    -0.659239 -0.20925 -0.887396   
0.368  22.6604    -0.735351 -0.227473 -0.77597   
0.369  23.5718    -0.805234 -0.247792 -0.680034   
0.37  24.84    -0.870744 -0.271155 -0.59425   
0.371  24.1104    -0.933434 -0.300167 -0.518652   
0.372  23.2266    -0.986741 -0.328667 -0.446611   
0.373  23.2822    -1.02963 -0.351535 -0.368899   
0.374  23.7082    -1.07204 -0.374547 -0.287609   
0.375  24.0655    -1.11863 -0.402861 -0.21519   
0.376  23.9293    -1.16467 -0.428909 -0.152915   
0.377  24.4355    -1.20656 -0.441505 -0.0987868   
0.378  25.8359    -1.24803 -0.444121 -0.0620913   
0.379  27.0576    -1.29122 -0.444439 -0.0515119   
0.38  26.6224    -1.33829 -0.448944 -0.0661048   
0.381  27.4189    -1.39385 -0.467 -0.100344   
0.382  26.3707    -1.46097 -0.506635 -0.158578   
0.383  25.7104    -1.53769 -0.563884 -0.241314   
0.384  24.5283    -1.61685 -0.628457 -0.341292   
0.385  23.3747    -1.69581 -0.700549 -0.454084   
0.386  23.66    -1.77068 -0.781583 -0.577387   
0.387  23.1553    -1.83456 -0.86499 -0.70752   
0.388  25.2232    -1.88652 -0.947426 -0.836651   
0.389  26.3517    -1.9286 -1.03226 -0.961809   
0.39  28.136    -1.95689 -1.11422 -1.07981   
0.391  29.964    -1.96651 -1.18536 -1.18414   
0.392  30.2398    -1.95099 -1.23642 -1.26439   
0.393  31.7864    -1.90074 -1.25606 -1.31271   
0.394  30.9017    -1.8127 -1.24081 -1.3341   
0.395  31.201    -1.69023 -1.1926 -1.3376   
0.396  32.7939    -1.54967 -1.12646 -1.33411   
0.397  33.5812    -1.40686 -1.05663 -1.33152   
0.398  34.4965    -1.26407 -0.980612 -1.32896   
0.399  34.2524    -1.12396 -0.893855 -1.3273   
0.4  35.7832    -0.992315 -0.796755 -1.33254   
0.401  37.0847    -0.876853 -0.691469 -1.35085   
